127.0.0.1 - - [27/Jan/2026 20:30:14] "HEAD /index.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 20:30:37] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 20:30:37] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 20:30:37] "GET /base.css HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 20:30:37] "GET /layout.css HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 20:30:37] "GET /features.css HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 20:30:37] "GET /components.css HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 20:30:37] "GET /ui-enhancements.css HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 20:30:37] "GET /mobile.css HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 20:30:37] "GET /standings-savemanager.css HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 20:30:37] "GET /utils.js?v=1.0.1 HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 20:30:37] "GET /constants.js?v=1.0.1 HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 20:30:37] "GET /player.js?v=1.0.1 HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 20:30:37] "GET /coaching-styles.css HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 20:30:37] "GET /expanded-names.js?v=1.0.1 HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 20:30:37] "GET /fixes.js?v=1.0.1 HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 20:30:37] "GET /schedule-factory.js?v=1.0.1 HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 20:30:37] "GET /schedule.js?v=1.0.1 HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 20:30:37] "GET /coaching.js?v=1.0.1 HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 20:30:37] "GET /staff.js?v=1.0.1 HTTP/1.1" 200 -
